node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EIF4H	MAT2B	9606.ENSP00000265753	9606.ENSP00000325425	0	0	0	0	0.076	0.399	0	0	0.421
FBLN5	FBN1	9606.ENSP00000345008	9606.ENSP00000325527	0	0	0	0.695	0.140	0.297	0	0.979	0.557
FBN1	SPG20	9606.ENSP00000325527	9606.ENSP00000414147	0	0	0	0	0.062	0	0	0.396	0.409
FBN1	FBLN5	9606.ENSP00000325527	9606.ENSP00000345008	0	0	0	0.695	0.140	0.297	0	0.979	0.557
FBN1	FBN2	9606.ENSP00000325527	9606.ENSP00000424571	0	0	0	0.974	0.111	0.462	0.900	0.939	0.949
FBN2	FBN1	9606.ENSP00000424571	9606.ENSP00000325527	0	0	0	0.974	0.111	0.462	0.900	0.939	0.949
MAT2B	EIF4H	9606.ENSP00000325425	9606.ENSP00000265753	0	0	0	0	0.076	0.399	0	0	0.421
NEK9	NUPL1	9606.ENSP00000238616	9606.ENSP00000371155	0	0	0	0	0	0	0.900	0	0.900
NEK9	NUP88	9606.ENSP00000238616	9606.ENSP00000458954	0	0	0	0	0	0	0.900	0.092	0.905
NEK9	NUP62	9606.ENSP00000238616	9606.ENSP00000471191	0	0	0	0	0.064	0	0.900	0.101	0.908
NEK9	NUP54	9606.ENSP00000238616	9606.ENSP00000264883	0	0	0	0	0.066	0.056	0.900	0.140	0.914
NEK9	NUP214	9606.ENSP00000238616	9606.ENSP00000352400	0	0	0	0	0.063	0	0.900	0.188	0.917
NUP214	NEK9	9606.ENSP00000352400	9606.ENSP00000238616	0	0	0	0	0.063	0	0.900	0.188	0.917
NUP214	NUP54	9606.ENSP00000352400	9606.ENSP00000264883	0	0	0	0	0.062	0.056	0.600	0.859	0.943
NUP214	NUPL1	9606.ENSP00000352400	9606.ENSP00000371155	0	0	0	0	0.106	0.429	0.600	0.773	0.947
NUP214	NUP88	9606.ENSP00000352400	9606.ENSP00000458954	0	0	0	0	0.130	0.987	0.800	0.993	0.999
NUP214	NUP62	9606.ENSP00000352400	9606.ENSP00000471191	0	0	0	0	0.183	0.981	0.900	0.974	0.999
NUP54	NEK9	9606.ENSP00000264883	9606.ENSP00000238616	0	0	0	0	0.066	0.056	0.900	0.140	0.914
NUP54	NUP88	9606.ENSP00000264883	9606.ENSP00000458954	0	0	0	0	0.226	0	0.600	0.830	0.943
NUP54	NUP214	9606.ENSP00000264883	9606.ENSP00000352400	0	0	0	0	0.062	0.056	0.600	0.859	0.943
NUP54	NUP62	9606.ENSP00000264883	9606.ENSP00000471191	0	0	0	0	0.154	0.993	0.800	0.989	0.999
NUP54	NUPL1	9606.ENSP00000264883	9606.ENSP00000371155	0	0	0	0	0.080	0.982	0.600	0.991	0.999
NUP62	NEK9	9606.ENSP00000471191	9606.ENSP00000238616	0	0	0	0	0.064	0	0.900	0.101	0.908
NUP62	NUP54	9606.ENSP00000471191	9606.ENSP00000264883	0	0	0	0	0.154	0.993	0.800	0.989	0.999
NUP62	NUP214	9606.ENSP00000471191	9606.ENSP00000352400	0	0	0	0	0.183	0.981	0.900	0.974	0.999
NUP62	NUPL1	9606.ENSP00000471191	9606.ENSP00000371155	0	0	0	0.559	0.265	0.979	0.800	0.986	0.998
NUP62	NUP88	9606.ENSP00000471191	9606.ENSP00000458954	0	0	0	0	0.189	0.962	0.600	0.967	0.999
NUP88	NEK9	9606.ENSP00000458954	9606.ENSP00000238616	0	0	0	0	0	0	0.900	0.092	0.905
NUP88	NUP54	9606.ENSP00000458954	9606.ENSP00000264883	0	0	0	0	0.226	0	0.600	0.830	0.943
NUP88	NUP214	9606.ENSP00000458954	9606.ENSP00000352400	0	0	0	0	0.130	0.987	0.800	0.993	0.999
NUP88	NUPL1	9606.ENSP00000458954	9606.ENSP00000371155	0	0	0	0	0.122	0	0.600	0.637	0.861
NUP88	NUP62	9606.ENSP00000458954	9606.ENSP00000471191	0	0	0	0	0.189	0.962	0.600	0.967	0.999
NUPL1	NEK9	9606.ENSP00000371155	9606.ENSP00000238616	0	0	0	0	0	0	0.900	0	0.900
NUPL1	NUP54	9606.ENSP00000371155	9606.ENSP00000264883	0	0	0	0	0.080	0.982	0.600	0.991	0.999
NUPL1	NUP214	9606.ENSP00000371155	9606.ENSP00000352400	0	0	0	0	0.106	0.429	0.600	0.773	0.947
NUPL1	NUP88	9606.ENSP00000371155	9606.ENSP00000458954	0	0	0	0	0.122	0	0.600	0.637	0.861
NUPL1	NUP62	9606.ENSP00000371155	9606.ENSP00000471191	0	0	0	0.559	0.265	0.979	0.800	0.986	0.998
SPG20	FBN1	9606.ENSP00000414147	9606.ENSP00000325527	0	0	0	0	0.062	0	0	0.396	0.409
