node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
POLA1	POLA2	9606.ENSP00000368349	9606.ENSP00000265465	0	0	0	0	0.961	0.995	0.900	0.933	0.999
POLA1	PRIM1	9606.ENSP00000368349	9606.ENSP00000350491	0	0	0	0	0.877	0.995	0.600	0.846	0.999
POLA1	PRIM2	9606.ENSP00000368349	9606.ENSP00000484105	0	0	0	0	0.958	0.993	0.600	0.834	0.999
POLA2	PRIM1	9606.ENSP00000265465	9606.ENSP00000350491	0	0	0	0	0.884	0.995	0.600	0.973	0.999
POLA2	PRIM2	9606.ENSP00000265465	9606.ENSP00000484105	0	0	0	0	0.942	0.995	0.600	0.973	0.999
POLA2	POLA1	9606.ENSP00000265465	9606.ENSP00000368349	0	0	0	0	0.961	0.995	0.900	0.933	0.999
PRIM1	POLA2	9606.ENSP00000350491	9606.ENSP00000265465	0	0	0	0	0.884	0.995	0.600	0.973	0.999
PRIM1	PRIM2	9606.ENSP00000350491	9606.ENSP00000484105	0.295	0	0	0	0.882	0.995	0.800	0.988	0.999
PRIM1	POLA1	9606.ENSP00000350491	9606.ENSP00000368349	0	0	0	0	0.877	0.995	0.600	0.846	0.999
PRIM2	POLA2	9606.ENSP00000484105	9606.ENSP00000265465	0	0	0	0	0.942	0.995	0.600	0.973	0.999
PRIM2	PRIM1	9606.ENSP00000484105	9606.ENSP00000350491	0.295	0	0	0	0.882	0.995	0.800	0.988	0.999
PRIM2	POLA1	9606.ENSP00000484105	9606.ENSP00000368349	0	0	0	0	0.958	0.993	0.600	0.834	0.999
