node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BCKDK	TYSND1	9606.ENSP00000378405	9606.ENSP00000287078	0.068	0	0	0	0.051	0.057	0	0.456	0.486
LARP4B	UBAP2	9606.ENSP00000482767	9606.ENSP00000368540	0	0	0	0	0.054	0.409	0	0	0.417
PDZD11	PLEKHA5	9606.ENSP00000239666	9606.ENSP00000404296	0	0	0	0	0	0.649	0	0	0.649
PLEKHA5	PDZD11	9606.ENSP00000404296	9606.ENSP00000239666	0	0	0	0	0	0.649	0	0	0.649
PPIL3	SLU7	9606.ENSP00000286175	9606.ENSP00000297151	0	0	0	0	0.065	0.754	0	0.243	0.810
SLU7	PPIL3	9606.ENSP00000297151	9606.ENSP00000286175	0	0	0	0	0.065	0.754	0	0.243	0.810
TYSND1	BCKDK	9606.ENSP00000287078	9606.ENSP00000378405	0.068	0	0	0	0.051	0.057	0	0.456	0.486
UBAP2	LARP4B	9606.ENSP00000368540	9606.ENSP00000482767	0	0	0	0	0.054	0.409	0	0	0.417
UBAP2	UBAP2L	9606.ENSP00000368540	9606.ENSP00000389445	0	0	0	0.910	0.080	0.646	0	0.484	0.674
UBAP2L	UBAP2	9606.ENSP00000389445	9606.ENSP00000368540	0	0	0	0.910	0.080	0.646	0	0.484	0.674
