node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CUL2	RBX1	9606.ENSP00000444856	9606.ENSP00000216225	0	0	0	0	0.062	0.991	0.900	0.995	0.999
CUL2	TCEB2	9606.ENSP00000444856	9606.ENSP00000262306	0	0	0	0	0.053	0.981	0.900	0.995	0.999
CUL2	ZYG11B	9606.ENSP00000444856	9606.ENSP00000294353	0	0	0	0	0.062	0.840	0.900	0.941	0.999
CUL2	TCEB1	9606.ENSP00000444856	9606.ENSP00000478121	0	0	0	0	0.076	0.996	0.900	0.995	0.999
RBX1	ZYG11B	9606.ENSP00000216225	9606.ENSP00000294353	0	0	0	0	0	0	0.900	0.617	0.960
RBX1	CUL2	9606.ENSP00000216225	9606.ENSP00000444856	0	0	0	0	0.062	0.991	0.900	0.995	0.999
RBX1	TCEB2	9606.ENSP00000216225	9606.ENSP00000262306	0	0	0	0	0.205	0.937	0.900	0.995	0.999
RBX1	TCEB1	9606.ENSP00000216225	9606.ENSP00000478121	0	0	0	0	0.240	0.859	0.900	0.994	0.999
TCEB1	RBX1	9606.ENSP00000478121	9606.ENSP00000216225	0	0	0	0	0.240	0.859	0.900	0.994	0.999
TCEB1	TCEB2	9606.ENSP00000478121	9606.ENSP00000262306	0	0	0	0	0.464	0.997	0.900	0.995	0.999
TCEB1	ZYG11B	9606.ENSP00000478121	9606.ENSP00000294353	0	0	0	0	0	0.820	0	0.769	0.956
TCEB1	CUL2	9606.ENSP00000478121	9606.ENSP00000444856	0	0	0	0	0.076	0.996	0.900	0.995	0.999
TCEB2	RBX1	9606.ENSP00000262306	9606.ENSP00000216225	0	0	0	0	0.205	0.937	0.900	0.995	0.999
TCEB2	ZYG11B	9606.ENSP00000262306	9606.ENSP00000294353	0	0	0	0	0	0.529	0.900	0.547	0.976
TCEB2	CUL2	9606.ENSP00000262306	9606.ENSP00000444856	0	0	0	0	0.053	0.981	0.900	0.995	0.999
TCEB2	TCEB1	9606.ENSP00000262306	9606.ENSP00000478121	0	0	0	0	0.464	0.997	0.900	0.995	0.999
ZYG11B	RBX1	9606.ENSP00000294353	9606.ENSP00000216225	0	0	0	0	0	0	0.900	0.617	0.960
ZYG11B	TCEB2	9606.ENSP00000294353	9606.ENSP00000262306	0	0	0	0	0	0.529	0.900	0.547	0.976
ZYG11B	TCEB1	9606.ENSP00000294353	9606.ENSP00000478121	0	0	0	0	0	0.820	0	0.769	0.956
ZYG11B	CUL2	9606.ENSP00000294353	9606.ENSP00000444856	0	0	0	0	0.062	0.840	0.900	0.941	0.999
