node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CYB5B	DCAKD	9606.ENSP00000308430	9606.ENSP00000308515	0	0	0	0	0	0	0	0.510	0.510
CYB5B	MARC1	9606.ENSP00000308430	9606.ENSP00000355877	0	0	0	0	0.065	0	0.600	0.584	0.831
CYB5B	CYB5R3	9606.ENSP00000308430	9606.ENSP00000354468	0	0	0	0	0.088	0.380	0.800	0.506	0.936
CYB5R3	CYB5B	9606.ENSP00000354468	9606.ENSP00000308430	0	0	0	0	0.088	0.380	0.800	0.506	0.936
CYB5R3	VIMP	9606.ENSP00000354468	9606.ENSP00000381282	0	0	0	0	0	0	0	0.441	0.441
CYB5R3	MARC1	9606.ENSP00000354468	9606.ENSP00000355877	0	0	0	0	0.063	0	0.600	0.490	0.792
DCAKD	CYB5B	9606.ENSP00000308515	9606.ENSP00000308430	0	0	0	0	0	0	0	0.510	0.510
GNB1	GNG5	9606.ENSP00000481878	9606.ENSP00000359675	0	0	0	0	0.062	0.993	0.600	0.571	0.998
GNB1	RHOA	9606.ENSP00000481878	9606.ENSP00000400175	0	0	0	0	0.153	0.203	0.650	0.377	0.833
GNG5	RHOA	9606.ENSP00000359675	9606.ENSP00000400175	0	0	0	0	0.106	0	0.650	0.054	0.678
GNG5	GNB1	9606.ENSP00000359675	9606.ENSP00000481878	0	0	0	0	0.062	0.993	0.600	0.571	0.998
LMAN2	MOGS	9606.ENSP00000303366	9606.ENSP00000233616	0	0	0	0	0.157	0	0	0.393	0.466
LMAN2	RAB1A	9606.ENSP00000303366	9606.ENSP00000387286	0	0	0	0	0.086	0	0.600	0.253	0.703
MARC1	CYB5B	9606.ENSP00000355877	9606.ENSP00000308430	0	0	0	0	0.065	0	0.600	0.584	0.831
MARC1	CYB5R3	9606.ENSP00000355877	9606.ENSP00000354468	0	0	0	0	0.063	0	0.600	0.490	0.792
MOGS	LMAN2	9606.ENSP00000233616	9606.ENSP00000303366	0	0	0	0	0.157	0	0	0.393	0.466
RAB10	RALA	9606.ENSP00000264710	9606.ENSP00000005257	0	0	0.438	0.788	0.105	0.171	0.900	0.446	0.933
RAB10	RAB7A	9606.ENSP00000264710	9606.ENSP00000265062	0	0	0.437	0.858	0.101	0.272	0	0.879	0.437
RAB10	RAB18	9606.ENSP00000264710	9606.ENSP00000478479	0	0	0.424	0.885	0.064	0.417	0	0.836	0.508
RAB10	RAB5C	9606.ENSP00000264710	9606.ENSP00000447053	0	0	0.445	0.875	0.144	0.488	0	0.728	0.606
RAB10	RAB14	9606.ENSP00000264710	9606.ENSP00000362946	0	0	0.441	0.903	0.135	0.164	0.600	0.863	0.723
RAB10	RAB8A	9606.ENSP00000264710	9606.ENSP00000300935	0	0	0.445	0.968	0.131	0.612	0.600	0.941	0.859
RAB14	RALA	9606.ENSP00000362946	9606.ENSP00000005257	0	0	0.434	0.786	0.149	0	0.900	0.166	0.921
RAB14	RAB10	9606.ENSP00000362946	9606.ENSP00000264710	0	0	0.441	0.903	0.135	0.164	0.600	0.863	0.723
RAB14	RAB7A	9606.ENSP00000362946	9606.ENSP00000265062	0	0	0.426	0.826	0.200	0.135	0	0.864	0.429
RAB14	RAB8A	9606.ENSP00000362946	9606.ENSP00000300935	0	0	0.440	0.903	0.094	0.164	0.600	0.780	0.707
RAB14	RAB5C	9606.ENSP00000362946	9606.ENSP00000447053	0	0	0.441	0.871	0.189	0.245	0	0.558	0.437
RAB18	RAB10	9606.ENSP00000478479	9606.ENSP00000264710	0	0	0.424	0.885	0.064	0.417	0	0.836	0.508
RAB18	RAB8A	9606.ENSP00000478479	9606.ENSP00000300935	0	0	0.431	0.870	0.062	0.556	0	0.655	0.623
RAB18	RAB1A	9606.ENSP00000478479	9606.ENSP00000387286	0	0	0.426	0.889	0.186	0.209	0	0.694	0.407
RAB1A	RAB2A	9606.ENSP00000387286	9606.ENSP00000262646	0	0	0.438	0.928	0.209	0.437	0.650	0.755	0.844
RAB1A	RAB7A	9606.ENSP00000387286	9606.ENSP00000265062	0	0	0.437	0.851	0.380	0.930	0	0.837	0.962
RAB1A	RAB8A	9606.ENSP00000387286	9606.ENSP00000300935	0	0	0.445	0.951	0.143	0.897	0	0.807	0.913
RAB1A	LMAN2	9606.ENSP00000387286	9606.ENSP00000303366	0	0	0	0	0.086	0	0.600	0.253	0.703
RAB1A	RAB18	9606.ENSP00000387286	9606.ENSP00000478479	0	0	0.426	0.889	0.186	0.209	0	0.694	0.407
RAB1A	RAB5C	9606.ENSP00000387286	9606.ENSP00000447053	0	0	0.445	0.908	0.280	0.367	0	0.657	0.571
